"","Company","Specific_Bean_Origin_or_Bar_Name","REF","Review_Date","Cocoa_Percentage","Company_Location","Rating","Broad_Bean_Origin","Gorzka"
"1","A. Morin","Agua Grande",1876,2016,63,"France",3.75,"Sao Tome","Nie"
"2","A. Morin","Kpime",1676,2015,70,"France",2.75,"Togo","Tak"
"3","A. Morin","Atsane",1676,2015,70,"France",3,"Togo","Tak"
"4","A. Morin","Akata",1680,2015,70,"France",3.5,"Togo","Tak"
"5","A. Morin","Quilla",1704,2015,70,"France",3.5,"Peru","Tak"
"6","A. Morin","Carenero",1315,2014,70,"France",2.75,"Venezuela","Tak"
"7","A. Morin","Cuba",1315,2014,70,"France",3.5,"Cuba","Tak"
"8","A. Morin","Sur del Lago",1315,2014,70,"France",3.5,"Venezuela","Tak"
"9","A. Morin","Puerto Cabello",1319,2014,70,"France",3.75,"Venezuela","Tak"
"10","A. Morin","Pablino",1319,2014,70,"France",4,"Peru","Tak"
"11","A. Morin","Panama",1011,2013,70,"France",2.75,"Panama","Tak"
"12","A. Morin","Madagascar",1011,2013,70,"France",3,"Madagascar","Tak"
"13","A. Morin","Brazil",1011,2013,70,"France",3.25,"Brazil","Tak"
"14","A. Morin","Equateur",1011,2013,70,"France",3.75,"Ecuador","Tak"
"15","A. Morin","Colombie",1015,2013,70,"France",2.75,"Colombia","Tak"
"16","A. Morin","Birmanie",1015,2013,70,"France",3,"Burma","Tak"
"17","A. Morin","Papua New Guinea",1015,2013,70,"France",3.25,"Papua New Guinea","Tak"
"18","A. Morin","Chuao",1015,2013,70,"France",4,"Venezuela","Tak"
"19","A. Morin","Piura",1019,2013,70,"France",3.25,"Peru","Tak"
"20","A. Morin","Chanchamayo Province",1019,2013,70,"France",3.5,"Peru","Tak"
"21","A. Morin","Chanchamayo Province",1019,2013,63,"France",4,"Peru","Nie"
"22","A. Morin","Bolivia",797,2012,70,"France",3.5,"Bolivia","Tak"
"23","A. Morin","Peru",797,2012,63,"France",3.75,"Peru","Nie"
"24","Acalli","Chulucanas, El Platanal",1462,2015,70,"U.S.A.",3.75,"Peru","Tak"
"25","Acalli","Tumbes, Norandino",1470,2015,70,"U.S.A.",3.75,"Peru","Tak"
"26","Adi","Vanua Levu",705,2011,60,"Fiji",2.75,"Fiji","Nie"
"27","Adi","Vanua Levu, Toto-A",705,2011,80,"Fiji",3.25,"Fiji","Tak"
"28","Adi","Vanua Levu",705,2011,88,"Fiji",3.5,"Fiji","Tak"
"29","Adi","Vanua Levu, Ami-Ami-CA",705,2011,72,"Fiji",3.5,"Fiji","Tak"
"30","Aequare (Gianduja)","Los Rios, Quevedo, Arriba",370,2009,55,"Ecuador",2.75,"Ecuador","Nie"
"31","Aequare (Gianduja)","Los Rios, Quevedo, Arriba",370,2009,70,"Ecuador",3,"Ecuador","Tak"
"32","Ah Cacao","Tabasco",316,2009,70,"Mexico",3,"Mexico","Tak"
"33","Akesson's (Pralus)","Bali (west), Sukrama Family, Melaya area",636,2011,75,"Switzerland",3.75,"Indonesia","Tak"
"34","Akesson's (Pralus)","Madagascar, Ambolikapiky P.",502,2010,75,"Switzerland",2.75,"Madagascar","Tak"
"35","Akesson's (Pralus)","Monte Alegre, D. Badero",508,2010,75,"Switzerland",2.75,"Brazil","Tak"
"36","Alain Ducasse","Trinite",1215,2014,65,"France",2.75,"Trinidad","Nie"
"37","Alain Ducasse","Vietnam",1215,2014,75,"France",2.75,"Vietnam","Tak"
"38","Alain Ducasse","Madagascar",1215,2014,75,"France",3,"Madagascar","Tak"
"39","Alain Ducasse","Chuao",1061,2013,75,"France",2.5,"Venezuela","Tak"
"40","Alain Ducasse","Piura, Perou",1173,2013,75,"France",2.5,"Peru","Tak"
"41","Alexandre","Winak Coop, Napo",1944,2017,70,"Netherlands",3.5,"Ecuador","Tak"
"42","Alexandre","La Dalia, Matagalpa",1944,2017,70,"Netherlands",3.5,"Nicaragua","Tak"
"43","Alexandre","Tien Giang",1944,2017,70,"Netherlands",3.5,"Vietnam","Tak"
"44","Alexandre","Makwale Village, Kyela",1944,2017,70,"Netherlands",3.5,"Tanzania","Tak"
"45","Altus aka Cao Artisan","Momotombo",1728,2016,60,"U.S.A.",2.75,"Nicaragua","Nie"
"46","Altus aka Cao Artisan","Acopagro",1728,2016,60,"U.S.A.",3,"Peru","Nie"
"47","Altus aka Cao Artisan","CIAAB Coop",1732,2016,60,"U.S.A.",2.5,"Bolivia","Nie"
"48","Altus aka Cao Artisan","Villa Andina",1732,2016,60,"U.S.A.",2.5,"Peru","Nie"
"49","Altus aka Cao Artisan","Gruppo Salinas",1732,2016,60,"U.S.A.",2.75,"Ecuador","Nie"
"50","Altus aka Cao Artisan","Sur del Lago",1125,2013,60,"U.S.A.",2.5,"Venezuela","Nie"
"51","Altus aka Cao Artisan","Conacado",1125,2013,60,"U.S.A.",3,"Dominican Republic","Nie"
"52","Altus aka Cao Artisan","Bolivia",1129,2013,80,"U.S.A.",3.25,"Bolivia","Tak"
"53","Altus aka Cao Artisan","Bolivia",1133,2013,60,"U.S.A.",3,"Bolivia","Nie"
"54","Altus aka Cao Artisan","Peru",1133,2013,60,"U.S.A.",3.25,"Peru","Nie"
"55","Amano","Morobe",725,2011,70,"U.S.A.",4,"Papua New Guinea","Tak"
"56","Amano","Dos Rios",470,2010,70,"U.S.A.",3.75,"Dominican Republic","Tak"
"57","Amano","Guayas",470,2010,70,"U.S.A.",4,"Ecuador","Tak"
"58","Amano","Chuao",544,2010,70,"U.S.A.",3,"Venezuela","Tak"
"59","Amano","Montanya",363,2009,70,"U.S.A.",3,"Venezuela","Tak"
"60","Amano","Bali, Jembrana",304,2008,70,"U.S.A.",2.75,"Indonesia","Tak"
"61","Amano","Madagascar",129,2007,70,"U.S.A.",3.5,"Madagascar","Tak"
"62","Amano","Cuyagua",147,2007,70,"U.S.A.",3,"Venezuela","Tak"
"63","Amano","Ocumare",175,2007,70,"U.S.A.",3.75,"Venezuela","Tak"
"64","Amatller (Simon Coll)","Ghana",322,2009,70,"Spain",3,"Ghana","Tak"
"65","Amatller (Simon Coll)","Ecuador",327,2009,70,"Spain",2.75,"Ecuador","Tak"
"66","Amatller (Simon Coll)","Ecuador",464,2009,85,"Spain",2.75,"Ecuador","Tak"
"67","Amatller (Simon Coll)","Ghana",464,2009,85,"Spain",3,"Ghana","Tak"
"68","Amazona","LamasdelChanka, San Martin, Oro Verde coop",1145,2013,72,"Peru",3.25,"Peru","Tak"
"69","Amazona","Bellavista Gran Pajeten, San Martin",1145,2013,73,"Peru",3.5,"Peru","Tak"
"70","Ambrosia","Belize",1494,2015,64,"Canada",3,"Belize","Nie"
"71","Ambrosia","Madagascar",1494,2015,66,"Canada",3.25,"Madagascar","Nie"
"72","Ambrosia","Dominican Republic",1498,2015,75,"Canada",3.25,"Dominican Republic","Tak"
"73","Ambrosia","Papua New Guinea",1498,2015,63,"Canada",3.25,"Papua New Guinea","Nie"
"74","Ambrosia","Venezuela",1498,2015,70,"Canada",3.25,"Venezuela","Tak"
"75","Ambrosia","Peru",1498,2015,68,"Canada",3.5,"Peru","Nie"
"76","Amedei","Piura, Blanco de Criollo",979,2012,70,"Italy",3.75,"Peru","Tak"
"77","Amedei","Porcelana",111,2007,70,"Italy",4,"Venezuela","Tak"
"78","Amedei","Nine",111,2007,75,"Italy",4," ","Tak"
"79","Amedei","Chuao",111,2007,70,"Italy",5,"Venezuela","Tak"
"80","Amedei","Ecuador",123,2007,70,"Italy",3,"Ecuador","Tak"
"81","Amedei","Jamaica",123,2007,70,"Italy",3,"Jamaica","Tak"
"82","Amedei","Grenada",123,2007,70,"Italy",3.5,"Grenada","Tak"
"83","Amedei","Venezuela",123,2007,70,"Italy",3.75,"Venezuela","Tak"
"84","Amedei","Madagascar",123,2007,70,"Italy",4,"Madagascar","Tak"
"85","Amedei","Trinidad",129,2007,70,"Italy",3.5,"Trinidad","Tak"
"86","Amedei","Toscano Black",170,2007,63,"Italy",3.5," ","Nie"
"87","Amedei","Toscano Black",40,2006,70,"Italy",5," ","Tak"
"88","Amedei","Toscano Black",75,2006,66,"Italy",4," ","Nie"
"89","AMMA","Catongo",1065,2013,75,"Brazil",3.25,"Brazil","Tak"
"90","AMMA","Monte Alegre, 3 diff. plantations",572,2010,85,"Brazil",2.75,"Brazil","Tak"
"91","AMMA","Monte Alegre, 3 diff. plantations",572,2010,50,"Brazil",3.75,"Brazil","Nie"
"92","AMMA","Monte Alegre, 3 diff. plantations",572,2010,75,"Brazil",3.75,"Brazil","Tak"
"93","AMMA","Monte Alegre, 3 diff. plantations",572,2010,60,"Brazil",4,"Brazil","Nie"
"94","Anahata","Elvesia",1259,2014,75,"U.S.A.",3,"Dominican Republic","Tak"
"95","Animas","Alto Beni",1852,2016,75,"U.S.A.",3.5,"Bolivia","Tak"
"96","Ara","Madagascar",1375,2014,75,"France",3,"Madagascar","Tak"
"97","Ara","Chiapas",1379,2014,72,"France",2.5,"Mexico","Tak"
"98","Ara","Equateur",1379,2014,75,"France",2.75,"Ecuador","Tak"
"99","Ara","Trincheras",1379,2014,75,"France",3,"Venezuela","Tak"
"100","Arete","San Juan",1724,2016,70,"U.S.A.",3.5,"Trinidad","Tak"
"101","Arete","Kokoa Kamili",1724,2016,70,"U.S.A.",3.75,"Tanzania","Tak"
"102","Arete","Tien Giang",1900,2016,73,"U.S.A.",3.5,"Vietnam","Tak"
"103","Arete","Hacienda Victoria",1904,2016,70,"U.S.A.",3.25,"Ecuador","Tak"
"104","Arete","Costa Esmeraldas",1904,2016,70,"U.S.A.",3.25,"Ecuador","Tak"
